participant,version,metric
4,window+ad,0.41
4,window,0.32
4,history,0.46
4,history+ad,0.56
6,history+ad,0.96
6,history,0.9
6,window+ad,0.97
6,window,0.77
7,history,0.78
7,window,0.63
7,history+ad,0.89
7,window+ad,0.86
8,history,0.6
8,window+ad,0.68
8,window,0.44
8,history+ad,0.85
9,window+ad,0.42
9,window,0.86
9,history,0.77
9,history+ad,0.71
10,window,0.61
10,window+ad,0.47
10,history,0.6
10,history+ad,0.46
11,history,0.67
11,window+ad,0.5
11,window,0.88
11,history+ad,0.54
12,history,0.93
12,window+ad,0.93
12,window,0.7
12,history+ad,0.78
13,history,0.54
13,window+ad,0.46
13,history+ad,0.63
13,window,0.24
14,history,0.41
14,window,0.77
14,window+ad,0.58
14,history+ad,0.38
15,history+ad,0.68
15,window+ad,0.88
15,history,0.59
15,window,0.73
16,history,0.55
16,window+ad,0.54
16,history+ad,0.84
16,window,0.57
17,history+ad,0.93
17,window,0.84
17,history,0.68
17,window+ad,0.81
18,window+ad,0.79
18,window,0.6
18,history,0.67
18,history+ad,0.57
20,window+ad,0.57
20,history,0.59
20,history+ad,0.55
20,window,0.68
24,history+ad,0.74
24,window,0.66
24,history,0.77
24,window+ad,0.84
25,history+ad,0.62
25,history,0.47
25,window+ad,0.75
25,window,0.81
26,history,0.47
26,window+ad,0.51
26,history+ad,0.65
26,window,0.5
27,window,0.4
27,history+ad,0.51
27,window+ad,0.4
27,history,0.45
29,window+ad,0.4
29,history,0.5
29,history+ad,0.43
29,window,0.43
31,history,0.79
31,history+ad,0.79
31,window,0.69
31,window+ad,0.97
32,window+ad,0.76
32,window,0.59
32,history,0.61
32,history+ad,0.88
33,history,0.86
33,window,0.82
33,window+ad,0.51
33,history+ad,0.93
34,history,0.8
34,history+ad,0.59
34,window+ad,0.23
34,window,0.27
35,window+ad,0.68
35,window,0.74
35,history+ad,0.28
35,history,0.67
36,window+ad,0.79
36,history,0.82
36,window,0.82
36,history+ad,0.74
37,history+ad,0.75
37,window+ad,0.52
37,window,0.51
37,history,0.68
38,window,0.85
38,window+ad,0.72
38,history+ad,0.7
38,history,0.78
39,window,0.61
39,history,0.7
39,history+ad,0.79
39,window+ad,0.86
41,history+ad,0.86
41,history,0.62
41,window+ad,0.79
41,window,0.79
42,history+ad,0.33
42,history,0.59
42,window+ad,0.79
42,window,0.49
43,window+ad,0.59
43,window,0.51
43,history+ad,0.84
43,history,0.93
44,window+ad,0.83
44,history+ad,0.73
44,window,0.73
44,history,0.55
45,window+ad,0.41
45,window,0.69
45,history,0.59
45,history+ad,0.63
47,history+ad,0.42
47,window+ad,0.51
47,window,0.47
47,history,0.42
49,history+ad,0.57
49,window,0.52
49,history,0.44
49,window+ad,0.54
50,window,0.72
50,history,0.58
50,window+ad,0.79
50,history+ad,0.89
51,history+ad,0.76
51,history,0.87
51,window+ad,0.6
51,window,0.74
52,history,0.26
52,window+ad,0.77
52,window,0.68
52,history+ad,0.28
53,history,0.82
53,window,0.4
53,window+ad,0.53
53,history+ad,0.56
56,history+ad,0.99
56,window,0.66
56,history,0.66
56,window+ad,0.9
58,history+ad,0.86
58,history,0.89
58,window,0.93
58,window+ad,0.6
59,history+ad,0.3
59,window,0.55
59,history,0.22
59,window+ad,0.49
60,history,0.53
60,window,0.56
60,history+ad,0.44
60,window+ad,0.62
62,window+ad,0.79
62,history+ad,0.59
62,window,0.82
62,history,0.77
63,history,0.94
63,window,0.93
63,history+ad,1.0
63,window+ad,0.86
64,history+ad,0.69
64,window,0.64
64,history,0.59
64,window+ad,0.72
65,history+ad,0.89
65,history,0.77
65,window+ad,0.84
65,window,0.91
66,window+ad,0.89
66,history+ad,0.71
66,history,0.29
66,window,0.24
67,history,0.76
67,window+ad,0.7
67,history+ad,0.69
67,window,0.68
68,window+ad,0.91
68,window,0.94
68,history+ad,0.85
68,history,0.71
70,window+ad,0.81
70,history+ad,0.78
70,history,0.55
70,window,0.75
73,window,0.39
73,history+ad,0.58
73,history,0.36
73,window+ad,0.67
